#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,"
South America
","4,250,825","+6,351","147,138",+321,"2,878,795","+4,265","1,224,892","13,101",,,,,,South America,"
",,
,"
Asia
","4,520,716","+70,868","100,678","+1,354","3,356,829","+60,448","1,063,209","19,118",,,,,,Asia,"
",,
,"
Europe
","2,923,074","+15,722","204,039",+224,"1,753,838","+5,383","965,197","5,157",,,,,,Europe,"
",,
,"
Africa
","965,937","+4,549","20,446",+96,"619,898","+4,554","325,593","1,149",,,,,,Africa,"
",,
,"
Oceania
","20,107",+398,246,+13,"12,276",+202,"7,585",43,,,,,,Australia/Oceania,"
",,
,"

",721,,15,,651,,55,4,,,,,,,"
",,
,World,"18,371,574","+135,908","695,093","+2,638","11,566,075","+103,692","6,110,406","64,670","2,357",89.2,,,,All,"
",,
1,USA,"4,844,193","+30,546","158,666  ",+301,"2,402,609","+22,392","2,282,918","18,698","14,627",479,"60,640,166","183,105","331,176,957 ",North America,68,"2,087",5
2,Brazil,"2,736,298","+2,621","94,226 ",+96,"1,884,051",,"758,021","8,318","12,865",443,"13,196,132","62,043","212,694,204 ",South America,78,"2,257",16
3,India,"1,855,331","+50,629","38,971 ",+810,"1,230,440","+43,212","585,920","8,944","1,343",28,"20,202,858","14,627","1,381,196,835 ",Asia,744,"35,442",68
4,Russia,"856,264","+5,394","14,207 ",+79,"653,593","+3,420","188,464","2,300","5,867",97,"29,029,900","198,916","145,940,242 ",Europe,170,"10,272",5
5,South Africa,"511,485",,"8,366 ",,"347,227",,"155,892",539,"8,615",141,"3,036,779","51,147","59,373,395 ",Africa,116,"7,097",20
6,Mexico,"439,046","+4,853","47,746 ",+274,"289,394","+4,547","101,906","3,944","3,402",370,"1,005,498","7,791","129,051,364 ",North America,294,"2,703",128
7,Peru,"428,850",,"19,614 ",,"294,187",,"115,049","1,410","12,991",594,"2,404,046","72,825","33,011,298 ",South America,77,"1,683",14
8,Chile,"361,493","+1,762","9,707 ",+99,"333,976","+1,565","17,810",235,"18,896",507,"1,697,558","88,735","19,130,722 ",South America,53,"1,971",11
9,Spain,"344,134","+3,044","28,472 ",+9,N/A,N/A,N/A,617,"7,360",609,"6,678,414","142,834","46,756,451 ",Europe,136,"1,642",7
10,Colombia,"317,651",,"10,650 ",,"167,239",,"139,762","1,493","6,237",209,"1,647,396","32,346","50,930,338 ",South America,160,"4,782",31
11,Iran,"312,035","+2,598","17,405 ",+215,"270,228","+2,126","24,402","4,104","3,711",207,"2,534,658","30,144","84,085,874 ",Asia,269,"4,831",33
12,UK,"305,623",+928,"46,210 ",+9,N/A,N/A,N/A,86,"4,500",680,"16,717,684","246,145","67,918,139 ",Europe,222,"1,470",4
13,Saudi Arabia,"280,093","+1,258","2,949 ",+32,"242,055","+1,974","35,089","2,017","8,035",85,"3,473,715","99,648","34,859,989 ",Asia,124,"11,821",10
14,Pakistan,"280,029",+331,"5,984 ",+8,"248,873",+296,"25,172","1,064","1,266",27,"2,010,170","9,086","221,248,898 ",Asia,790,"36,973",110
15,Italy,"248,229",+159,"35,166 ",+12,"200,589",+129,"12,474",41,"4,106",582,"6,940,801","114,812","60,453,535 ",Europe,244,"1,719",9
16,Bangladesh,"242,102","+1,356","3,184 ",+30,"137,905","+1,066","101,013",,"1,469",19,"1,193,544","7,241","164,833,483 ",Asia,681,"51,769",138
